unicode 15.1.0
mark 0300 036F
mark 0483 0487
mark 0591 05BD
mark 05BF 05BF
mark 05C1 05C2
mark 05C4 05C5
mark 05C7 05C7
mark 0610 061A
mark 064B 065F
mark 0670 0670
mark 06D6 06DC
mark 06DF 06E4
mark 06E7 06E8
mark 06EA 06ED
mark 0711 0711
mark 0730 074A
mark 07A6 07B0
mark 07EB 07F3
mark 07FD 07FD
mark 0816 0819
mark 081B 0823
mark 0825 0827
mark 0829 082D
mark 0859 085B
mark 0898 089F
mark 08CA 08E1
mark 08E3 0902
mark 093A 093A
mark 093C 093C
mark 0941 0948
mark 094D 094D
mark 0951 0957
mark 0962 0963
mark 0981 0981
mark 09BC 09BC
mark 09C1 09C4
mark 09CD 09CD
mark 09E2 09E3
mark 09FE 09FE
mark 0A01 0A02
mark 0A3C 0A3C
mark 0A41 0A42
mark 0A47 0A48
mark 0A4B 0A4D
mark 0A51 0A51
mark 0A70 0A71
mark 0A75 0A75
mark 0A81 0A82
mark 0ABC 0ABC
mark 0AC1 0AC5
mark 0AC7 0AC8
mark 0ACD 0ACD
mark 0AE2 0AE3
mark 0AFA 0AFF
mark 0B01 0B01
mark 0B3C 0B3C
mark 0B3F 0B3F
mark 0B41 0B44
mark 0B4D 0B4D
mark 0B55 0B56
mark 0B62 0B63
mark 0B82 0B82
mark 0BC0 0BC0
mark 0BCD 0BCD
mark 0C00 0C00
mark 0C04 0C04
mark 0C3C 0C3C
mark 0C3E 0C40
mark 0C46 0C48
mark 0C4A 0C4D
mark 0C55 0C56
mark 0C62 0C63
mark 0C81 0C81
mark 0CBC 0CBC
mark 0CBF 0CBF
mark 0CC6 0CC6
mark 0CCC 0CCD
mark 0CE2 0CE3
mark 0D00 0D01
mark 0D3B 0D3C
mark 0D41 0D44
mark 0D4D 0D4D
mark 0D62 0D63
mark 0D81 0D81
mark 0DCA 0DCA
mark 0DD2 0DD4
mark 0DD6 0DD6
mark 0E31 0E31
mark 0E34 0E3A
mark 0E47 0E4E
mark 0EB1 0EB1
mark 0EB4 0EBC
mark 0EC8 0ECE
mark 0F18 0F19
mark 0F35 0F35
mark 0F37 0F37
mark 0F39 0F39
mark 0F71 0F7E
mark 0F80 0F84
mark 0F86 0F87
mark 0F8D 0F97
mark 0F99 0FBC
mark 0FC6 0FC6
mark 102D 1030
mark 1032 1037
mark 1039 103A
mark 103D 103E
mark 1058 1059
mark 105E 1060
mark 1071 1074
mark 1082 1082
mark 1085 1086
mark 108D 108D
mark 109D 109D
mark 135D 135F
mark 1712 1714
mark 1732 1733
mark 1752 1753
mark 1772 1773
mark 17B4 17B5
mark 17B7 17BD
mark 17C6 17C6
mark 17C9 17D3
mark 17DD 17DD
mark 180B 180D
mark 180F 180F
mark 1885 1886
mark 18A9 18A9
mark 1920 1922
mark 1927 1928
mark 1932 1932
mark 1939 193B
mark 1A17 1A18
mark 1A1B 1A1B
mark 1A56 1A56
mark 1A58 1A5E
mark 1A60 1A60
mark 1A62 1A62
mark 1A65 1A6C
mark 1A73 1A7C
mark 1A7F 1A7F
mark 1AB0 1ABD
mark 1ABF 1ACE
mark 1B00 1B03
mark 1B34 1B34
mark 1B36 1B3A
mark 1B3C 1B3C
mark 1B42 1B42
mark 1B6B 1B73
mark 1B80 1B81
mark 1BA2 1BA5
mark 1BA8 1BA9
mark 1BAB 1BAD
mark 1BE6 1BE6
mark 1BE8 1BE9
mark 1BED 1BED
mark 1BEF 1BF1
mark 1C2C 1C33
mark 1C36 1C37
mark 1CD0 1CD2
mark 1CD4 1CE0
mark 1CE2 1CE8
mark 1CED 1CED
mark 1CF4 1CF4
mark 1CF8 1CF9
mark 1DC0 1DFF
mark 20D0 20DC
mark 20E1 20E1
mark 20E5 20F0
mark 2CEF 2CF1
mark 2D7F 2D7F
mark 2DE0 2DFF
mark 302A 302D
mark 3099 309A
mark A66F A66F
mark A674 A67D
mark A69E A69F
mark A6F0 A6F1
mark A802 A802
mark A806 A806
mark A80B A80B
mark A825 A826
mark A82C A82C
mark A8C4 A8C5
mark A8E0 A8F1
mark A8FF A8FF
mark A926 A92D
mark A947 A951
mark A980 A982
mark A9B3 A9B3
mark A9B6 A9B9
mark A9BC A9BD
mark A9E5 A9E5
mark AA29 AA2E
mark AA31 AA32
mark AA35 AA36
mark AA43 AA43
mark AA4C AA4C
mark AA7C AA7C
mark AAB0 AAB0
mark AAB2 AAB4
mark AAB7 AAB8
mark AABE AABF
mark AAC1 AAC1
mark AAEC AAED
mark AAF6 AAF6
mark ABE5 ABE5
mark ABE8 ABE8
mark ABED ABED
mark FB1E FB1E
mark FE00 FE0F
mark FE20 FE2F
mark 101FD 101FD
mark 102E0 102E0
mark 10376 1037A
mark 10A01 10A03
mark 10A05 10A06
mark 10A0C 10A0F
mark 10A38 10A3A
mark 10A3F 10A3F
mark 10AE5 10AE6
mark 10D24 10D27
mark 10EAB 10EAC
mark 10EFD 10EFF
mark 10F46 10F50
mark 10F82 10F85
mark 11001 11001
mark 11038 11046
mark 11070 11070
mark 11073 11074
mark 1107F 11081
mark 110B3 110B6
mark 110B9 110BA
mark 110C2 110C2
mark 11100 11102
mark 11127 1112B
mark 1112D 11134
mark 11173 11173
mark 11180 11181
mark 111B6 111BE
mark 111C9 111CC
mark 111CF 111CF
mark 1122F 11231
mark 11234 11234
mark 11236 11237
mark 1123E 1123E
mark 11241 11241
mark 112DF 112DF
mark 112E3 112EA
mark 11300 11301
mark 1133B 1133C
mark 11340 11340
mark 11366 1136C
mark 11370 11374
mark 11438 1143F
mark 11442 11444
mark 11446 11446
mark 1145E 1145E
mark 114B3 114B8
mark 114BA 114BA
mark 114BF 114C0
mark 114C2 114C3
mark 115B2 115B5
mark 115BC 115BD
mark 115BF 115C0
mark 115DC 115DD
mark 11633 1163A
mark 1163D 1163D
mark 1163F 11640
mark 116AB 116AB
mark 116AD 116AD
mark 116B0 116B5
mark 116B7 116B7
mark 1171D 1171F
mark 11722 11725
mark 11727 1172B
mark 1182F 11837
mark 11839 1183A
mark 1193B 1193C
mark 1193E 1193E
mark 11943 11943
mark 119D4 119D7
mark 119DA 119DB
mark 119E0 119E0
mark 11A01 11A0A
mark 11A33 11A38
mark 11A3B 11A3E
mark 11A47 11A47
mark 11A51 11A56
mark 11A59 11A5B
mark 11A8A 11A96
mark 11A98 11A99
mark 11C30 11C36
mark 11C38 11C3D
mark 11C3F 11C3F
mark 11C92 11CA7
mark 11CAA 11CB0
mark 11CB2 11CB3
mark 11CB5 11CB6
mark 11D31 11D36
mark 11D3A 11D3A
mark 11D3C 11D3D
mark 11D3F 11D45
mark 11D47 11D47
mark 11D90 11D91
mark 11D95 11D95
mark 11D97 11D97
mark 11EF3 11EF4
mark 11F00 11F01
mark 11F36 11F3A
mark 11F40 11F40
mark 11F42 11F42
mark 13440 13440
mark 13447 13455
mark 16AF0 16AF4
mark 16B30 16B36
mark 16F4F 16F4F
mark 16F8F 16F92
mark 16FE4 16FE4
mark 1BC9D 1BC9E
mark 1CF00 1CF2D
mark 1CF30 1CF46
mark 1D167 1D169
mark 1D17B 1D182
mark 1D185 1D18B
mark 1D1AA 1D1AD
